Log start on,2023-04-16 17:18:01
Feature,MEMS Sensor Fusion (Compact)
Nodes,TileBOX @323356, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,qi,qj,qk,qs,
16/04/2023 17:18:01.838,36,TileBOX @323356,69452,,-0.7057,-0.1332,-0.6855,0.11972901,
16/04/2023 17:18:01.907,105,TileBOX @323356,69460,6DE4CBFA3BE56CE4C8FA3DE56BE4C7FA3EE5,-0.7059,-0.1333,-0.6853,0.11958331,
16/04/2023 17:18:01.917,115,TileBOX @323356,69460,,-0.706,-0.1336,-0.6851,0.11980416,
16/04/2023 17:18:01.927,125,TileBOX @323356,69460,,-0.7061,-0.1337,-0.685,0.119675234,
16/04/2023 17:18:01.953,151,TileBOX @323356,69467,6AE4C6FA3FE569E4C4FA3FE568E4C4FA40E5,-0.7062,-0.1338,-0.6849,0.11954567,
16/04/2023 17:18:01.963,161,TileBOX @323356,69467,,-0.7063,-0.134,-0.6849,0.11872767,
16/04/2023 17:18:01.974,172,TileBOX @323356,69467,,-0.7064,-0.134,-0.6848,0.118709594,
16/04/2023 17:18:02.042,240,TileBOX @323356,69475,66E4C1FA42E565E4C0FA43E564E4C0FA44E5,-0.7066,-0.1343,-0.6846,0.118333176,
16/04/2023 17:18:02.053,251,TileBOX @323356,69475,,-0.7067,-0.1344,-0.6845,0.11820088,
16/04/2023 17:18:02.062,260,TileBOX @323356,69475,,-0.7068,-0.1344,-0.6844,0.11818222,
16/04/2023 17:18:02.087,285,TileBOX @323356,69482,63E4C0FA45E562E4BFFA46E561E4BDFA47E5,-0.7069,-0.1344,-0.6843,0.1181633,
16/04/2023 17:18:02.098,296,TileBOX @323356,69482,,-0.707,-0.1345,-0.6842,0.118030064,
16/04/2023 17:18:02.107,305,TileBOX @323356,69482,,-0.7071,-0.1347,-0.6841,0.11778261,
16/04/2023 17:18:02.132,330,TileBOX @323356,69490,61E4BDFA47E55FE4BCFA49E55FE4BCFA49E5,-0.7071,-0.1347,-0.6841,0.11778261,
16/04/2023 17:18:02.142,340,TileBOX @323356,69490,,-0.7073,-0.1348,-0.6839,0.117628664,
16/04/2023 17:18:02.153,351,TileBOX @323356,69490,,-0.7073,-0.1348,-0.6839,0.117628664,
16/04/2023 17:18:02.222,420,TileBOX @323356,69497,5FE4BCFA49E560E4BBFA48E55EE4BAFA4AE5,-0.7073,-0.1348,-0.6839,0.117628664,
16/04/2023 17:18:02.232,430,TileBOX @323356,69497,,-0.7072,-0.1349,-0.684,0.11753336,
16/04/2023 17:18:02.242,440,TileBOX @323356,69497,,-0.7074,-0.135,-0.6838,0.11737884,
16/04/2023 17:18:02.267,465,TileBOX @323356,69505,5DE4B9FA4BE55CE4BAFA4CE55BE4BBFA4DE5,-0.7075,-0.1351,-0.6837,0.11724344,
16/04/2023 17:18:02.277,475,TileBOX @323356,69505,,-0.7076,-0.135,-0.6836,0.11733846,
16/04/2023 17:18:02.288,486,TileBOX @323356,69505,,-0.7077,-0.1349,-0.6835,0.11743291,
16/04/2023 17:18:02.359,557,TileBOX @323356,69512,5AE4B8FA4EE559E4B7FA50E558E4B7FA50E5,-0.7078,-0.1352,-0.6834,0.11706689,
16/04/2023 17:18:02.369,567,TileBOX @323356,69512,,-0.7079,-0.1353,-0.6832,0.11751282,
16/04/2023 17:18:02.380,578,TileBOX @323356,69512,,-0.708,-0.1353,-0.6832,0.11690869,
16/04/2023 17:18:02.402,600,TileBOX @323356,69520,56E4B6FA52E555E4B7FA53E553E4B8FA56E5,-0.7082,-0.1354,-0.683,0.116750285,
16/04/2023 17:18:02.413,611,TileBOX @323356,69520,,-0.7083,-0.1353,-0.6829,0.116844185,
16/04/2023 17:18:02.424,622,TileBOX @323356,69520,,-0.7085,-0.1352,-0.6826,0.11749837,
16/04/2023 17:18:02.449,647,TileBOX @323356,69527,53E4BAFA55E551E4BCFA57E54FE4B4FA5BE5,-0.7085,-0.135,-0.6827,0.117146805,
16/04/2023 17:18:02.462,660,TileBOX @323356,69527,,-0.7087,-0.1348,-0.6825,0.11733313,
16/04/2023 17:18:02.469,667,TileBOX @323356,69527,,-0.7089,-0.1356,-0.6821,0.117528796,
16/04/2023 17:18:02.540,738,TileBOX @323356,69535,4DE4ADFA61E546E4B2FA68E540E4AEFA72E5,-0.7091,-0.1363,-0.6815,0.11898393,
16/04/2023 17:18:02.551,749,TileBOX @323356,69535,,-0.7098,-0.1358,-0.6808,0.11938851,
16/04/2023 17:18:02.560,758,TileBOX @323356,69535,,-0.7104,-0.1362,-0.6798,0.12105141,
16/04/2023 17:18:02.583,781,TileBOX @323356,69542,3CE4A5FA7AE537E4A8FA80E536E4A9FA82E5,-0.7108,-0.1371,-0.679,0.122171834,
16/04/2023 17:18:02.594,792,TileBOX @323356,69542,,-0.7113,-0.1368,-0.6784,0.122928865,
16/04/2023 17:18:02.603,801,TileBOX @323356,69542,,-0.7114,-0.1367,-0.6782,0.12356362,
16/04/2023 17:18:02.674,872,TileBOX @323356,69550,34E4A3FA84E52CE4A0FA8DE525E49DFA95E5,-0.7116,-0.1373,-0.678,0.12284204,
16/04/2023 17:18:02.684,882,TileBOX @323356,69550,,-0.7124,-0.1376,-0.6771,0.12283355,
16/04/2023 17:18:02.696,894,TileBOX @323356,69550,,-0.7131,-0.1379,-0.6763,0.12284253,
16/04/2023 17:18:02.720,918,TileBOX @323356,69557,1EE49BFA9DE512E485FAB3E50AE47CFAC0E5,-0.7138,-0.1381,-0.6755,0.12295383,
16/04/2023 17:18:02.730,928,TileBOX @323356,69557,,-0.715,-0.1403,-0.6733,0.12553102,
16/04/2023 17:18:02.741,939,TileBOX @323356,69557,,-0.7158,-0.1412,-0.672,0.12692095,
16/04/2023 17:18:02.764,962,TileBOX @323356,69565,FEE35CFADAE5E7E34CFAF8E5D2E342FA14E6,-0.717,-0.1444,-0.6694,0.13024324,
16/04/2023 17:18:02.774,972,TileBOX @323356,69565,,-0.7193,-0.146,-0.6664,0.13115874,
16/04/2023 17:18:02.784,982,TileBOX @323356,69565,,-0.7214,-0.147,-0.6636,0.13269532,
16/04/2023 17:18:02.855,1053,TileBOX @323356,69572,CAE355FA20E6BEE369FA2DE6A9E3BBFA29E6,-0.7222,-0.1451,-0.6624,0.13637958,
16/04/2023 17:18:02.865,1063,TileBOX @323356,69572,,-0.7234,-0.1431,-0.6611,0.1384258,
